Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Acc_AVG
1.85547,563.455,25.6458,28.5818,294.477,134.523,243.988,81.2109,165.036,340.564,92.4158,149.779,1.85547,48.331,2.1998,2.45163,25.2591,11.5388,20.9284,6.96596,14.1561,29.2122,7.92707,12.8475,1.85547,6568.9,298.985,333.213,3433.09,1568.3,2844.48,946.777,1924.03,3970.38,1077.41,1746.16
1.95313,463.869,143.954,27.0842,222.845,152.686,348.844,142.709,94.3015,587.544,122.183,148.32,1.95313,37.7995,11.7304,2.20702,18.159,12.442,28.4264,11.629,7.68438,47.8774,9.95638,12.0862,1.95313,5692.53,1766.58,332.373,2734.71,1873.74,4280.96,1751.31,1157.25,7210.25,1499.41,1820.16
2.05078,430.159,90.4391,28.697,331.495,64.4175,142.531,300.752,193.69,824.598,28.5804,168.111,2.05078,33.3834,7.0187,2.22709,25.7263,4.99925,11.0614,23.3405,15.0317,63.9946,2.21804,13.0466,2.05078,5542.79,1165.35,369.773,4271.45,830.048,1836.58,3875.33,2495.78,10625.3,368.271,2166.18
2.14844,624.09,123.33,26.7547,384.138,55.4246,285.97,203.116,121.979,432.634,63.8742,163.223,2.14844,46.2322,9.13621,1.98197,28.4567,4.10582,21.1845,15.0467,9.03613,32.0493,4.73176,12.0915,2.14844,8424.61,1664.84,361.163,5185.49,748.178,3860.31,2741.87,1646.6,5840.14,862.24,2203.35
2.24609,829.953,85.262,39.0208,327.982,73.2378,294.636,222.246,221.602,599.301,24.0869,221.924,2.24609,58.8093,6.04154,2.76496,23.2403,5.18953,20.8775,15.748,15.7024,42.4656,1.70676,15.7252,2.24609,11712.8,1203.27,550.686,4628.68,1033.58,4158.08,3136.47,3127.39,8457.71,339.929,3131.93
2.34375,653.619,126.622,25.6025,217.298,123.028,66.4055,131.891,360.855,482.068,81.2028,129.256,2.34375,44.3847,8.59842,1.73857,14.7559,8.35436,4.50934,8.95618,24.5043,32.7354,5.51417,8.7773,2.34375,9625.33,1864.67,377.028,3199.98,1811.74,977.902,1942.25,5314.03,7099.04,1195.81,1903.46
2.44141,393.515,62.6671,101.202,446.636,225.225,55.0878,295.967,112.308,425.151,70.2247,168.766,2.44141,25.6532,4.08526,6.59731,29.1162,14.6824,3.59116,19.2941,7.32132,27.7156,4.57794,11.0019,2.44141,6036.44,961.301,1552.41,6851.32,3454.91,845.036,4540.08,1722.78,6521.74,1077.23,2588.84
2.53906,247.074,24.4471,66.1323,241.743,174.655,197.164,231.715,373.563,591.155,100.39,214.439,2.53906,15.4873,1.5324,4.14534,15.1531,10.9478,12.3588,14.5245,23.4159,37.0551,6.29271,13.4416,2.53906,3941.68,390.014,1055.04,3856.62,2786.35,3145.44,3696.64,5959.6,9430.93,1601.56,3421.04
2.63672,626.624,176.092,47.4505,187.471,156.665,156.286,212.772,400.824,649.217,84.7905,181.781,2.63672,37.8236,10.6291,2.86416,11.3159,9.45645,9.4336,12.8431,24.1941,39.1874,5.11804,10.9725,2.63672,10381.3,2917.32,786.111,3105.82,2595.47,2589.19,3524.99,6640.45,10755.6,1404.72,3011.57
2.73438,458.052,58.1905,40.0816,332.748,143.9,286.273,167.537,224.155,439.318,162.655,195.846,2.73438,26.661,3.38699,2.33296,19.3677,8.37571,16.6626,9.75152,13.047,25.5706,9.46735,11.3993,2.73438,7869.6,999.747,688.625,5716.8,2472.28,4918.35,2878.38,3851.12,7547.73,2794.5,3364.75
2.83203,437.483,137.799,66.3681,230.024,24.9088,269.789,202.712,138.38,183.329,90.5114,160.854,2.83203,24.5857,7.74405,3.72976,12.9269,1.39983,15.1617,11.392,7.77668,10.3027,5.08658,9.0397,2.83203,7784.65,2452.02,1180.97,4093.09,443.232,4800.68,3607.09,2462.35,3262.18,1610.58,2862.27
2.92969,330.297,284.968,118.809,217.781,149.808,183.924,51.3169,288.373,250.431,303.257,234.106,2.92969,17.9434,15.4809,6.45428,11.831,8.1383,9.99166,2.78778,15.6658,13.6046,16.4744,12.7178,2.92969,6080.03,5245.63,2187.01,4008.87,2757.63,3385.63,944.629,5308.31,4609.87,5582.29,4309.37
3.02734,275.797,212.624,72.6449,393.198,165.508,253.52,124.464,201.59,444.419,116.364,207.107,3.02734,14.4993,11.1782,3.81912,20.6714,8.70118,13.3282,6.54338,10.5981,23.3642,6.11753,10.8881,3.02734,5246.03,4044.39,1381.81,7479.16,3148.19,4822.3,2367.47,3834.52,8453.46,2213.4,3939.45
3.125,719.785,191.244,41.1455,425.429,40.9479,214.143,65.1101,342.898,412.123,155.986,202.694,3.125,36.6583,9.73998,2.09552,21.6669,2.08546,10.9062,3.31603,17.4636,20.9893,7.94429,10.3231,3.125,14132.9,3755.07,807.89,8353.28,804.009,4204.69,1278.43,6732.79,8092.02,3062.77,3979.88
3.22266,243.498,182.026,16.2877,387.227,174.563,384.457,244.02,292.197,476.574,67.5885,243.759,3.22266,12.0255,8.9896,0.804391,19.1237,8.62099,18.9869,12.0512,14.4305,23.5362,3.33794,12.0383,3.22266,4930.48,3685.77,329.803,7840.79,3534.64,7784.69,4941.05,5916.57,9649.94,1368.57,4935.77
3.32031,200.686,227.308,99.223,165.645,84.2664,229.336,239.686,348.074,281.355,274.029,228.322,3.32031,9.61963,10.8957,4.75613,7.94,4.0392,10.9929,11.4891,16.6845,13.4864,13.1352,10.9443,3.32031,4186.74,4742.13,2070,3455.72,1757.98,4784.44,5000.37,7261.56,5869.67,5716.82,4763.29
3.41797,302.967,32.2826,190.946,9.51276,222.372,34.0166,144.919,167.923,168.413,349.123,168.168,3.41797,14.1074,1.50321,8.89124,0.442954,10.3546,1.58396,6.74802,7.8192,7.84201,16.2566,7.8306,3.41797,6506.43,693.293,4100.7,204.293,4775.6,730.532,3112.24,3606.27,3616.79,7497.67,3611.53
3.51563,107.624,157.513,234.708,402.376,228.414,257.653,107.481,101.152,1047.93,113.45,192.964,3.51563,4.87221,7.13075,10.6254,18.2159,10.3405,11.6641,4.86575,4.57924,47.4406,5.13597,8.7356,3.51563,2377.34,3479.37,5184.54,8888.21,5045.5,5691.38,2374.18,2234.39,23148.1,2506.04,4262.43
3.61328,578.884,221.175,197.17,269.122,98.2616,216.561,142.615,144.745,1393.4,265.89,218.868,3.61328,25.4982,9.74212,8.68477,11.8541,4.32815,9.5389,6.28181,6.37562,61.3752,11.7117,9.64051,3.61328,13142.4,5021.31,4476.33,6109.86,2230.82,4916.56,3237.79,3286.14,31634.2,6036.47,4968.93
3.71094,542.582,116.799,201.177,251.938,285.967,21.4741,71.1424,234.205,1241.27,204.619,219.412,3.71094,23.2703,5.00928,8.62811,10.8051,12.2646,0.920984,3.05116,10.0446,53.2358,8.77572,9.41017,3.71094,12651.1,2723.35,4690.75,5874.31,6667.75,500.702,1658.79,5460.85,28942.2,4771,5115.93
3.80859,229.089,244.309,85.5509,195.955,117.208,47.3582,230.302,330.835,553.941,301.83,229.696,3.80859,9.57327,10.2093,3.57503,8.18862,4.89795,1.97902,9.62397,13.825,23.1483,12.613,9.59862,3.80859,5482.13,5846.35,2047.24,4689.21,2804.81,1133.29,5511.16,7916.9,13255.9,7222.83,5496.65
3.90625,318.195,160.324,167.355,242.385,101.437,121.382,314.31,396.307,702.26,451.964,278.348,3.90625,12.9644,6.5322,6.81864,9.87566,4.13293,4.94556,12.8061,16.147,28.6126,18.4147,11.3409,3.90625,7809.68,3934.95,4107.5,5949.02,2489.65,2979.17,7714.33,9726.83,17236,11092.9,6831.68
4.00391,223.879,308.087,299.493,132.619,103.961,319.641,314.66,363.958,413.053,328.831,311.373,4.00391,8.89915,12.2464,11.9048,5.27158,4.13244,12.7057,12.5077,14.4673,16.4188,13.071,12.3771,4.00391,5632.18,7750.64,7534.43,3336.33,2615.37,8041.31,7915.99,9156.19,10391.3,8272.51,7833.31
4.10156,71.257,436.244,336.719,99.3273,32.4661,76.599,120,48.693,322.196,262.744,109.664,4.10156,2.76502,16.9278,13.0659,3.85425,1.2598,2.97231,4.65642,1.88946,12.5023,10.1954,4.25533,4.10156,1836.36,11242.4,8677.55,2559.75,836.681,1974.02,3092.5,1254.86,8303.27,6771.15,2826.13
4.19922,186.46,422.347,390.994,225.997,146.954,56.0746,127.128,21.4417,888.428,163.99,175.225,4.19922,7.06704,16.0074,14.8191,8.56552,5.56972,2.12529,4.81828,0.812665,33.6724,6.21539,6.64121,4.19922,4919.65,11143.4,10316.2,5962.8,3877.31,1479.5,3354.2,565.729,23440.7,4326.78,4623.22
4.29688,500.481,178.93,285.616,282.535,153.89,57.4211,187.375,22.8704,918.565,310.338,234.955,4.29688,18.5376,6.6275,10.5791,10.465,5.70005,2.12686,6.94033,0.847113,34.0234,11.4948,8.70268,4.29688,13512,4830.75,7711.07,7627.91,4154.74,1550.26,5058.77,617.457,24799.5,8378.53,6343.34
4.39453,381.032,194.689,280.341,472.944,191.645,40.7857,163.187,111.464,729.322,296.939,237.515,4.39453,13.7997,7.05098,10.153,17.1284,6.94072,1.47712,5.91009,4.03685,26.4136,10.7541,8.60198,4.39453,10520.9,5375.69,7740.67,13058.8,5291.63,1126.16,4505.88,3077.71,20137.8,8198.98,6558.18
4.49219,213.486,460.557,131.122,362.729,133.306,153.01,128.903,54.3761,767.073,145.684,149.347,4.49219,7.56366,16.3172,4.64557,12.8512,4.72293,5.42104,4.56696,1.92651,27.1768,5.16147,5.29125,4.49219,6025.7,12999.3,3700.96,10238.1,3762.59,4318.75,3638.33,1534.78,21650.8,4111.96,4215.35
4.58984,85.2853,446.467,133.885,137.848,154.511,37.0881,49.2817,93.3693,775.412,207.373,135.866,4.58984,2.95731,15.4814,4.64252,4.77994,5.35775,1.28605,1.70886,3.23762,26.8878,7.19076,4.71123,4.58984,2459.53,12875.6,3861.09,3975.37,4455.93,1069.58,1421.23,2692.66,22362,5980.4,3918.23
4.6875,83.3535,410.613,49.6039,898.508,216.434,75.5905,123.109,42.2667,558.692,146.2,134.654,4.6875,2.83011,13.9416,1.6842,30.5071,7.34861,2.56653,4.17992,1.43508,18.9693,4.96393,4.57193,4.6875,2454.96,12093.6,1460.96,26463.3,6374.52,2226.32,3625.85,1244.86,16454.8,4305.94,3965.9
4.78516,166.024,223.815,65.6022,673.035,41.5717,115.559,94.9607,45.5045,636.383,669.196,140.792,4.78516,5.52198,7.44412,2.18194,22.3852,1.38268,3.84352,3.15841,1.51349,21.1662,22.2575,4.68275,4.78516,4991.68,6729.23,1972.4,20235.5,1249.89,3474.41,2855.09,1368.14,19133.5,20120.1,4233.05
4.88281,95.4625,258.249,334.994,104.972,257.327,103.82,77.2086,84.0904,564.223,668.153,181.149,4.88281,3.11159,8.41761,10.9191,3.42155,8.38756,3.384,2.51661,2.74092,18.3908,21.7784,5.90455,4.88281,2928.75,7922.99,10277.5,3220.49,7894.69,3185.15,2368.73,2579.86,17310.2,20498.7,5557.59
4.98047,352.844,252.277,468.632,500.586,160.279,162.071,43.5612,65.2564,293.074,495.163,272.676,4.98047,11.2754,8.06173,14.9755,15.9966,5.12184,5.17912,1.39203,2.08532,9.36543,15.8233,8.71358,4.98047,11041.6,7894.57,14665,15664.9,5015.64,5071.73,1363.17,2042.08,9171.24,15495.2,8532.9
5.07813,210.798,244.185,407.589,486.721,177.025,93.3693,153.997,77.4013,201.942,666.527,206.37,5.07813,6.60667,7.65306,12.7744,15.2544,5.54818,2.92631,4.82645,2.42585,6.32913,20.8898,6.4679,5.07813,6725.88,7791.15,13004.9,15529.7,5648.29,2979.12,4913.54,2469.63,6443.33,21266.8,6584.61
5.17578,86.0485,57.5799,380.052,360.947,174.017,157.901,165.933,68.9959,710.73,504.406,169.975,5.17578,2.64599,1.77058,11.6866,11.0991,5.35102,4.85546,5.10244,2.12162,21.8549,15.5105,5.22673,5.17578,2798.33,1872.52,12359.4,11738.1,5659.11,5135.02,5396.22,2243.77,23113.2,16403.5,5527.66
5.27344,309.078,92.359,458.501,556.965,338.63,256.632,79.148,91.3701,1062.95,123.57,282.855,5.27344,9.32812,2.78744,13.8378,16.8095,10.22,7.74527,2.38872,2.75759,32.0805,3.72942,8.53669,5.27344,10241,3060.22,15192,18454.5,11220.2,8503.22,2622.49,3027.46,35219.9,4094.38,9372.1
5.37109,154.18,127.366,318.844,457.611,145.273,124.385,43.4695,142.835,708.211,184.724,149.726,5.37109,4.56861,3.77407,9.44791,13.5598,4.30469,3.68575,1.28808,4.23246,20.9855,5.47368,4.43665,5.37109,5203.19,4298.28,10760.2,15443.3,4902.61,4197.7,1466.99,4820.34,23900.4,6233.97,5052.9
5.46875,244.032,242.093,165.034,489.952,153.201,252.236,68.5491,104.872,421.639,564.673,243.062,5.46875,7.10197,7.04554,4.80291,14.2589,4.45854,7.34072,1.99496,3.05204,12.2708,16.4335,7.07375,5.46875,8385.22,8318.6,5670.75,16835.3,5264.15,8667.12,2355.43,3603.52,14488,19402.8,8351.91
5.56641,322.503,247.068,90.5597,357.044,423.463,291.165,41.7136,197.071,267.495,205.003,257.282,5.56641,9.22101,7.06418,2.58929,10.2086,12.1077,8.32501,1.19268,5.63466,7.64824,5.86147,7.35621,5.56641,11279.5,8641.14,3167.31,12487.5,14810.5,10183.4,1458.92,6892.51,9355.58,7169.95,8998.36
5.66406,266.724,286.624,243.374,274.722,328.437,88.8218,52.2499,168.291,241.546,256.484,249.929,5.66406,7.4947,8.05387,6.83858,7.71944,9.22877,2.49581,1.46817,4.72881,6.78721,7.20695,7.02277,5.66406,9492.27,10200.5,8661.27,9776.91,11688.5,3161.02,1859.49,5989.19,8596.21,9127.83,8894.55
5.76172,251.219,150.545,378.522,257.571,284.518,169.567,160.818,114.692,699.495,326.443,254.395,5.76172,6.93938,4.15848,10.4558,7.11484,7.85919,4.68392,4.44224,3.16813,19.322,9.01727,7.02711,5.76172,9094.62,5450.02,13703.2,9324.58,10300.1,6138.66,5821.92,4152.09,25323.1,11817.9,9209.6
5.85938,206.222,261.749,113.01,362.049,142.813,10.3476,49.3212,116.335,227.512,677.424,174.517,5.85938,5.60149,7.10975,3.06962,9.83413,3.87915,0.281066,1.33968,3.15995,6.17977,18.4005,4.74032,5.85938,7592.17,9636.43,4160.51,13329,5257.74,380.952,1815.79,4282.95,8375.97,24939.7,6424.95
5.95703,117.299,157.382,236.658,244.663,204.531,131.27,153.933,55.1702,450.581,530.298,180.957,5.95703,3.1339,4.20481,6.32283,6.53671,5.4645,3.50717,4.11265,1.47399,12.0382,14.1681,4.83465,5.95703,4390.41,5890.68,8857.91,9157.54,7655.43,4913.34,5761.57,2064.97,16864.9,19848.6,6773.06
6.05469,171.637,341.889,137.135,466.507,91.6571,111.937,57.7144,37.1487,97.0052,537.461,124.536,6.05469,4.51168,8.98696,3.60477,12.2627,2.40932,2.94241,1.51709,0.976499,2.5499,14.1278,3.27359,6.05469,6529.53,13006.4,5216.99,17747.2,3486.89,4258.4,2195.61,1413.24,3690.34,20446.5,4737.7
6.15234,126.866,143.176,155.46,380.133,462.169,189.625,66.9289,81.1401,112.987,1253.82,149.318,6.15234,3.2819,3.70382,4.02158,9.83367,11.9559,4.9054,1.73138,2.09901,2.92286,32.435,3.8627,6.15234,4904.18,5534.66,6009.49,14694.6,17865.8,7330.19,2587.22,3136.58,4367.65,48468,5772.08
6.25,59.5714,67.5722,80.4544,73.6426,458.184,252.216,151.983,147.527,260.288,917.992,149.755,6.25,1.51697,1.72071,2.04875,1.87529,11.6675,6.42262,3.87021,3.75676,6.62818,23.3765,3.81348,6.25,2339.36,2653.55,3159.44,2891.94,17992.8,9904.49,5968.35,5793.39,10221.5,36049.5,5880.87
6.34766,120.637,156.584,213.639,434.38,446.333,146.846,50.683,116.931,88.5025,123.597,135.221,6.34766,3.02473,3.92603,5.35658,10.8912,11.1909,3.68188,1.27078,2.93181,2.21903,3.09894,3.39041,6.34766,4811.42,6245.12,8520.68,17324.6,17801.3,5856.74,2021.41,4663.62,3529.79,4929.46,5393.1
6.44531,199.415,70.1202,263.332,399.803,374.564,168.988,69.5826,83.3636,93.9531,287.126,184.202,6.44531,4.92418,1.73149,6.50249,9.87239,9.24916,4.17284,1.71821,2.05851,2.32,7.09004,4.54851,6.44531,8075.73,2839.67,10664.2,16190.9,15168.8,6843.53,2817.89,3375.98,3804.83,11627.8,7459.63
6.54297,128.595,168.867,184.785,553.349,178.953,263.71,176.887,102.074,190.873,248.025,181.869,6.54297,3.12801,4.10762,4.49482,13.46,4.35296,6.41463,4.30271,2.4829,4.64291,6.03311,4.42389,6.54297,5286.61,6942.23,7596.65,22748.6,7356.89,10841.3,7271.95,4196.33,7846.92,10196.5,7476.77
6.64063,208.245,139.396,94.437,467.378,122.886,93.1994,75.1643,110.545,198.44,225.37,131.141,6.64063,4.99098,3.3409,2.26336,11.2016,2.9452,2.2337,1.80145,2.64942,4.75598,5.40142,3.14305,6.64063,8688.87,5816.22,3940.31,19501,5127.35,3888.68,3136.18,4612.41,8279.76,9403.41,5471.78
6.73828,288.149,87.6836,286.021,486.454,388.484,133.616,98.052,131.851,253.197,170.275,211.736,6.73828,6.80595,2.07104,6.75567,11.4898,9.1758,3.15594,2.31594,3.11426,5.98039,4.02181,5.0011,6.73828,12199.6,3712.34,12109.5,20595.4,16447.6,5657,4151.31,5582.29,10719.8,7209.08,8964.45
6.83594,384.508,57.368,57.4669,399.063,396.631,57.3564,142.817,160.119,472.297,227.713,193.916,6.83594,8.95214,1.33565,1.33795,9.29103,9.23441,1.33538,3.32507,3.72791,10.9961,5.30164,4.51477,6.83594,16515.2,2464.04,2468.29,17140.3,17035.9,2463.54,6134.19,6877.35,20285.8,9780.61,8328.98
6.93359,255.503,254.695,133.452,321.185,136.275,24.6619,197.771,115.04,448.39,348.388,226.233,6.93359,5.86485,5.84632,3.06327,7.37254,3.12807,0.566093,4.53967,2.64065,10.2924,7.99695,5.19299,6.93359,11131,11095.8,5813.83,13992.4,5936.81,1074.4,8615.9,5011.72,19534.1,15177.5,9855.85
7.03125,261.996,224.039,196.592,594.819,165.252,68.4941,96.4494,55.2036,475.989,519.204,210.315,7.03125,5.93038,5.0712,4.44994,13.4639,3.74054,1.55039,2.18317,1.24955,10.7742,11.7524,4.76057,7.03125,11574.6,9897.72,8685.17,26278.3,7300.61,3025.98,4261,2438.82,21028.6,22937.7,9291.45
7.12891,147.718,75.6759,89.7367,866.696,225.871,94.5444,82.6334,49.2215,773.34,521.422,121.131,7.12891,3.29785,1.68949,2.0034,19.3493,5.04264,2.11073,1.84481,1.09888,17.2651,11.6409,2.70429,7.12891,6616.63,3389.69,4019.51,38821.3,10117.3,4234.85,3701.33,2204.74,34639.6,23355.7,5425.74
